luna_sin,luna_cos,ora_sin,ora_cos,temperatura,grad_seninatate,viteza_vant,presiune
1.0,0.0,0.866,0.5,0.2424,0.07,0.1017,0.5641
1.0,0.0,0.9659,0.2588,0.3636,0.99,0.339,0.3846
1.0,0.0,1.0,0.0,0.3939,0.93,0.1356,0.7692
1.0,0.0,0.9659,-0.2588,0.3636,0.86,0.6441,0.2564
1.0,0.0,0.866,-0.5,0.5455,0.41,0.2881,0.3846
1.0,0.0,0.7071,-0.7071,0.7273,0.43,0.0508,0.1795
1.0,0.0,0.5,-0.866,0.5455,0.13,0.4068,0.0769
1.0,0.0,0.2588,-0.9659,0.7879,0.77,1.0,1.0
1.0,0.0,0.0,-1.0,0.7273,0.01,0.2203,0.0769
1.0,0.0,-0.2588,-0.9659,0.8485,0.36,0.8305,0.6154
1.0,0.0,-0.5,-0.866,0.8485,0.68,0.9661,0.0513
1.0,0.0,-0.7071,-0.7071,0.7879,0.37,0.1356,0.7949
1.0,0.0,-0.866,-0.5,0.7879,0.4,0.4237,0.0513
1.0,0.0,-0.9659,-0.2588,0.7273,0.61,0.8814,0.6667
1.0,0.0,-1.0,-0.0,0.7273,0.59,0.0169,0.7179
1.0,0.0,-0.9659,0.2588,0.6364,0.13,0.322,0.7949
1.0,0.0,-0.866,0.5,0.3939,0.88,0.4576,0.4615
1.0,0.0,-0.7071,0.7071,0.4242,0.83,0.7797,0.5128
1.0,0.0,-0.5,0.866,0.2424,0.01,1.0,0.1026
1.0,0.0,-0.2588,0.9659,0.303,0.69,0.1017,0.4359
1.0,0.0,0.0,1.0,0.2121,0.16,0.7288,0.6923
1.0,0.0,0.2588,0.9659,0.2121,0.88,0.1186,0.5385
1.0,0.0,0.5,0.866,0.1515,0.27,0.7797,0.5128
1.0,0.0,0.7071,0.7071,0.2424,0.65,0.5763,0.1282
1.0,0.0,0.866,0.5,0.2727,0.34,0.2203,0.0
1.0,0.0,0.9659,0.2588,0.2424,1.0,0.2712,0.1026
1.0,0.0,1.0,0.0,0.3939,0.04,0.5932,0.2821
1.0,0.0,0.9659,-0.2588,0.4545,0.64,0.8305,0.641
1.0,0.0,0.866,-0.5,0.5152,0.39,0.661,0.8462
1.0,0.0,0.7071,-0.7071,0.6364,0.75,0.0508,0.3333
1.0,0.0,0.5,-0.866,0.697,0.55,0.0169,0.641
1.0,0.0,0.2588,-0.9659,0.7273,0.35,0.0847,0.6667
1.0,0.0,0.0,-1.0,0.7576,0.44,0.8983,0.2051
1.0,0.0,-0.2588,-0.9659,0.7879,0.22,0.6949,0.641
1.0,0.0,-0.5,-0.866,0.8788,0.46,0.0508,0.5385
1.0,0.0,-0.7071,-0.7071,0.8485,0.3,0.8983,0.7436
1.0,0.0,-0.866,-0.5,0.6667,0.1,0.4746,0.4103
1.0,0.0,-0.9659,-0.2588,0.697,0.09,0.2881,0.641
1.0,0.0,-1.0,-0.0,0.6364,0.66,0.4237,0.8974
1.0,0.0,-0.9659,0.2588,0.4848,0.13,0.7288,0.0
1.0,0.0,-0.866,0.5,0.5152,0.79,0.5593,0.1795
1.0,0.0,-0.7071,0.7071,0.3939,0.73,0.1525,0.8718
1.0,0.0,-0.5,0.866,0.2424,0.92,0.5932,0.359
1.0,0.0,-0.2588,0.9659,0.1818,0.09,0.2203,0.5385
1.0,0.0,0.0,1.0,0.1818,0.75,0.5085,0.3333
1.0,0.0,0.2588,0.9659,0.1515,0.93,0.7966,0.641
1.0,0.0,0.5,0.866,0.1212,0.0,0.2373,0.6923
1.0,0.0,0.7071,0.7071,0.2121,0.04,0.1186,0.5641
1.0,0.0,0.866,0.5,0.303,0.19,0.2203,0.3333
1.0,0.0,0.9659,0.2588,0.2121,0.07,0.3729,0.5897
1.0,0.0,1.0,0.0,0.2121,0.42,1.0,0.0256
1.0,0.0,0.9659,-0.2588,0.3939,0.75,0.9492,0.641
1.0,0.0,0.866,-0.5,0.3636,0.0,0.661,0.3333
1.0,0.0,0.7071,-0.7071,0.6667,0.56,0.339,0.1538
1.0,0.0,0.5,-0.866,0.7273,0.63,0.2542,0.0513
1.0,0.0,0.2588,-0.9659,0.8182,0.83,0.7458,0.5641
1.0,0.0,0.0,-1.0,0.9091,0.27,0.2881,0.4359
1.0,0.0,-0.2588,-0.9659,0.6667,0.36,0.7797,0.9487
1.0,0.0,-0.5,-0.866,0.8182,0.46,0.8814,0.8718
1.0,0.0,-0.7071,-0.7071,0.8485,1.0,0.3898,0.359
1.0,0.0,-0.866,-0.5,0.8788,0.75,0.4237,0.6154
1.0,0.0,-0.9659,-0.2588,0.7273,0.36,0.4068,0.9231
1.0,0.0,-1.0,-0.0,0.6364,0.48,1.0,0.6923
1.0,0.0,-0.9659,0.2588,0.4848,0.43,1.0,0.2308
1.0,0.0,-0.866,0.5,0.3939,0.55,1.0,0.9744
1.0,0.0,-0.7071,0.7071,0.3636,0.27,0.7458,0.4103
1.0,0.0,-0.5,0.866,0.3636,0.78,0.678,0.9744
1.0,0.0,-0.2588,0.9659,0.2121,0.05,0.4746,0.5385
1.0,0.0,0.0,1.0,0.2121,0.6,0.2373,0.641
1.0,0.0,0.2588,0.9659,0.2121,0.19,0.7458,0.6154
1.0,0.0,0.5,0.866,0.1818,0.77,0.0,0.4103
1.0,0.0,0.7071,0.7071,0.2424,0.01,0.4068,0.3077
1.0,0.0,0.866,0.5,0.2424,0.72,0.1017,0.4872
1.0,0.0,0.9659,0.2588,0.303,0.36,0.1356,0.6154
1.0,0.0,1.0,0.0,0.3333,0.19,0.3898,0.0769
1.0,0.0,0.9659,-0.2588,0.4242,0.25,0.0,0.2308
1.0,0.0,0.866,-0.5,0.5152,0.28,0.7288,0.0513
1.0,0.0,0.7071,-0.7071,0.5152,0.0,0.1186,0.4359
1.0,0.0,0.5,-0.866,0.6364,0.34,0.3898,0.8974
1.0,0.0,0.2588,-0.9659,0.8485,0.69,0.1695,0.5385
1.0,0.0,0.0,-1.0,0.8485,1.0,0.8475,0.8462
1.0,0.0,-0.2588,-0.9659,0.8485,0.58,0.2712,0.1795
1.0,0.0,-0.5,-0.866,0.8182,0.68,0.1186,1.0
1.0,0.0,-0.7071,-0.7071,0.7273,0.32,0.5763,0.4615
1.0,0.0,-0.866,-0.5,0.8182,0.5,0.5763,0.9231
1.0,0.0,-0.9659,-0.2588,0.8182,0.77,0.5424,0.1282
1.0,0.0,-1.0,-0.0,0.5152,0.11,0.9831,0.641
1.0,0.0,-0.9659,0.2588,0.5455,0.19,0.0678,0.8462
1.0,0.0,-0.866,0.5,0.4545,0.52,0.6949,0.1282
1.0,0.0,-0.7071,0.7071,0.3636,0.87,0.6441,0.9231
1.0,0.0,-0.5,0.866,0.1818,0.42,0.9661,0.8205
1.0,0.0,-0.2588,0.9659,0.2424,0.97,0.678,0.5385
1.0,0.0,0.0,1.0,0.1818,0.88,0.4576,0.5128
1.0,0.0,0.2588,0.9659,0.303,0.49,0.1017,0.1282
1.0,0.0,0.5,0.866,0.2121,0.28,0.1356,0.1282
1.0,0.0,0.7071,0.7071,0.2121,0.56,0.1186,0.0769
1.0,0.0,0.866,0.5,0.2424,0.38,0.1864,0.7436
1.0,0.0,0.9659,0.2588,0.1818,0.94,0.5593,0.2564
1.0,0.0,1.0,0.0,0.4242,0.55,0.5424,0.7436
1.0,0.0,0.9659,-0.2588,0.303,0.42,0.7966,0.7692
1.0,0.0,0.866,-0.5,0.5455,0.49,0.9153,0.5897
1.0,0.0,0.7071,-0.7071,0.6061,0.22,0.3729,0.2051
1.0,0.0,0.5,-0.866,0.6667,0.43,0.3898,0.0513
1.0,0.0,0.2588,-0.9659,0.7576,0.37,0.6102,0.7692
1.0,0.0,0.0,-1.0,0.8182,0.83,0.5763,1.0
1.0,0.0,-0.2588,-0.9659,0.7273,0.22,0.7288,0.9231
1.0,0.0,-0.5,-0.866,0.8485,0.44,0.661,0.8974
1.0,0.0,-0.7071,-0.7071,0.7879,0.51,0.3559,0.5897
1.0,0.0,-0.866,-0.5,0.8182,0.79,0.4407,0.7692
1.0,0.0,-0.9659,-0.2588,0.697,0.49,0.5763,0.1282
1.0,0.0,-1.0,-0.0,0.6364,0.07,0.0,0.0256
1.0,0.0,-0.9659,0.2588,0.6667,0.84,0.5763,0.4872
1.0,0.0,-0.866,0.5,0.4242,0.0,0.6102,0.6923
1.0,0.0,-0.7071,0.7071,0.3333,0.07,0.7797,0.2564
1.0,0.0,-0.5,0.866,0.303,0.28,0.2203,0.0769
1.0,0.0,-0.2588,0.9659,0.3636,0.95,0.0339,0.359
1.0,0.0,0.0,1.0,0.2727,0.04,0.0,0.1282
1.0,0.0,0.2588,0.9659,0.2121,0.85,0.0678,0.7436
1.0,0.0,0.5,0.866,0.2121,0.46,0.4237,0.9487
1.0,0.0,0.7071,0.7071,0.1212,0.33,0.9153,0.0256
1.0,0.0,0.866,0.5,0.2727,0.64,0.2203,0.359
1.0,0.0,0.9659,0.2588,0.2424,0.54,0.6441,0.2564
1.0,0.0,1.0,0.0,0.2121,0.89,0.4407,0.1795
1.0,0.0,0.9659,-0.2588,0.3939,0.42,0.1356,0.641
1.0,0.0,0.866,-0.5,0.5455,0.73,0.2373,0.1026
1.0,0.0,0.7071,-0.7071,0.5152,0.29,0.2373,0.1282
1.0,0.0,0.5,-0.866,0.7273,0.81,0.4237,0.641
1.0,0.0,0.2588,-0.9659,0.6061,0.16,0.6949,0.0769
1.0,0.0,0.0,-1.0,0.697,0.25,1.0,0.4615
1.0,0.0,-0.2588,-0.9659,0.8788,0.07,0.2034,0.4872
1.0,0.0,-0.5,-0.866,0.7879,0.46,0.8475,0.8205
1.0,0.0,-0.7071,-0.7071,0.8485,0.75,0.5254,0.4872
1.0,0.0,-0.866,-0.5,0.8788,0.9,0.6441,0.2821
1.0,0.0,-0.9659,-0.2588,0.697,0.71,0.8136,0.0
1.0,0.0,-1.0,-0.0,0.7576,0.88,0.8644,0.641
1.0,0.0,-0.9659,0.2588,0.6364,0.45,0.5254,0.3333
1.0,0.0,-0.866,0.5,0.4848,0.67,0.0508,0.9487
1.0,0.0,-0.7071,0.7071,0.3939,0.32,0.4915,0.9231
1.0,0.0,-0.5,0.866,0.4242,0.0,0.6102,0.2564
1.0,0.0,-0.2588,0.9659,0.303,0.18,0.3729,0.8974
1.0,0.0,0.0,1.0,0.303,0.3,0.6441,0.3077
1.0,0.0,0.2588,0.9659,0.2121,0.79,0.7458,0.0513
1.0,0.0,0.5,0.866,0.1212,0.13,0.2373,0.8205
1.0,0.0,0.7071,0.7071,0.1515,0.52,0.7119,0.1282
1.0,0.0,0.866,0.5,0.1212,0.47,0.4746,0.2308
1.0,0.0,0.9659,0.2588,0.2727,0.68,0.5932,0.1026
1.0,0.0,1.0,0.0,0.3636,0.89,0.2034,0.5641
1.0,0.0,0.9659,-0.2588,0.4242,0.61,0.5254,0.2308
1.0,0.0,0.866,-0.5,0.5758,0.91,0.1017,0.0256
1.0,0.0,0.7071,-0.7071,0.6061,0.65,0.9831,0.3077
1.0,0.0,0.5,-0.866,0.6061,0.63,0.8475,1.0
1.0,0.0,0.2588,-0.9659,0.697,0.69,0.3559,0.0256
1.0,0.0,0.0,-1.0,0.8788,0.62,0.4576,0.4872
1.0,0.0,-0.2588,-0.9659,0.9091,0.72,0.0169,0.0
1.0,0.0,-0.5,-0.866,0.7576,0.32,0.6949,0.9231
1.0,0.0,-0.7071,-0.7071,0.697,0.4,0.7458,0.2051
1.0,0.0,-0.866,-0.5,0.8485,0.88,0.9492,0.4103
1.0,0.0,-0.9659,-0.2588,0.6667,0.47,0.8814,0.2051
1.0,0.0,-1.0,-0.0,0.7879,0.12,0.0847,0.2564
1.0,0.0,-0.9659,0.2588,0.697,0.72,0.4576,0.359
1.0,0.0,-0.866,0.5,0.4242,0.76,0.4576,0.5897
1.0,0.0,-0.7071,0.7071,0.303,0.3,0.7288,0.9487
1.0,0.0,-0.5,0.866,0.3939,0.74,0.7288,0.8718
1.0,0.0,-0.2588,0.9659,0.2424,0.67,0.322,0.7436
1.0,0.0,0.0,1.0,0.1818,0.97,0.4915,0.7692
1.0,0.0,0.2588,0.9659,0.2121,0.03,0.1695,0.1026
1.0,0.0,0.5,0.866,0.1212,0.18,0.9661,0.3333
1.0,0.0,0.7071,0.7071,0.1818,0.69,0.9153,0.2564
1.0,0.0,0.866,0.5,0.2121,0.97,0.4576,0.2051
1.0,0.0,0.9659,0.2588,0.303,0.81,0.4068,0.8462
1.0,0.0,1.0,0.0,0.2727,0.12,0.6441,0.2821
1.0,0.0,0.9659,-0.2588,0.3636,0.22,0.5424,0.8718
1.0,0.0,0.866,-0.5,0.6061,0.82,0.0,0.8718
1.0,0.0,0.7071,-0.7071,0.5758,0.74,0.9492,0.0
1.0,0.0,0.5,-0.866,0.6061,0.0,0.4407,1.0
1.0,0.0,0.2588,-0.9659,0.7879,0.87,0.9492,0.5385
1.0,0.0,0.0,-1.0,0.7879,0.53,0.8644,0.7179
1.0,0.0,-0.2588,-0.9659,0.9394,0.7,0.2034,0.1795
1.0,0.0,-0.5,-0.866,0.8182,0.88,0.678,0.2564
1.0,0.0,-0.7071,-0.7071,0.9394,0.84,0.0339,0.9231
1.0,0.0,-0.866,-0.5,0.7576,0.14,0.6441,0.3333
1.0,0.0,-0.9659,-0.2588,0.7576,0.64,0.0847,0.7436
1.0,0.0,-1.0,-0.0,0.7273,0.75,0.1186,0.8718
1.0,0.0,-0.9659,0.2588,0.5455,0.7,0.4407,0.5128
1.0,0.0,-0.866,0.5,0.5455,0.14,0.1356,0.9231
1.0,0.0,-0.7071,0.7071,0.3636,0.2,0.6102,0.1026
1.0,0.0,-0.5,0.866,0.3636,0.18,0.5424,0.4615
1.0,0.0,-0.2588,0.9659,0.2121,0.59,0.8475,0.3333
1.0,0.0,0.0,1.0,0.1818,0.92,0.6949,0.641
1.0,0.0,0.2588,0.9659,0.0909,0.88,0.7288,0.0769
1.0,0.0,0.5,0.866,0.1212,0.32,0.3898,0.6154
1.0,0.0,0.7071,0.7071,0.0606,0.48,0.2373,0.6154
1.0,0.0,0.866,0.5,0.1515,0.95,0.9831,0.4359
1.0,0.0,0.9659,0.2588,0.3333,0.34,0.8983,1.0
1.0,0.0,1.0,0.0,0.2121,0.43,0.5254,0.1795
1.0,0.0,0.9659,-0.2588,0.3636,0.89,0.5254,0.9744
1.0,0.0,0.866,-0.5,0.5455,0.1,0.3898,1.0
1.0,0.0,0.7071,-0.7071,0.8182,0.98,0.678,0.3333
1.0,0.0,0.5,-0.866,0.697,0.71,0.8644,0.7949
1.0,0.0,0.2588,-0.9659,0.7879,0.77,0.8136,0.9487
1.0,0.0,0.0,-1.0,0.7879,0.73,0.8136,0.8205
1.0,0.0,-0.2588,-0.9659,0.697,0.65,0.9661,0.5641
1.0,0.0,-0.5,-0.866,0.697,0.45,0.8644,0.359
1.0,0.0,-0.7071,-0.7071,0.7576,0.08,0.1864,0.8205
1.0,0.0,-0.866,-0.5,0.6667,0.02,0.6441,0.6154
1.0,0.0,-0.9659,-0.2588,0.8182,0.84,0.0169,0.4103
1.0,0.0,-1.0,-0.0,0.7273,0.25,0.0339,0.8205
1.0,0.0,-0.9659,0.2588,0.5758,0.71,0.8136,0.0256
1.0,0.0,-0.866,0.5,0.4848,0.47,0.6102,0.3333
1.0,0.0,-0.7071,0.7071,0.303,0.65,0.8136,1.0
1.0,0.0,-0.5,0.866,0.3333,0.69,0.9322,1.0
1.0,0.0,-0.2588,0.9659,0.2727,0.27,0.2712,0.9744
1.0,0.0,0.0,1.0,0.1515,0.92,0.9831,0.1282
1.0,0.0,0.2588,0.9659,0.1818,0.25,0.8136,0.1282
1.0,0.0,0.5,0.866,0.2121,0.24,0.0169,0.0513
1.0,0.0,0.7071,0.7071,0.2121,0.11,0.0169,0.1538
1.0,0.0,0.866,0.5,0.2424,0.04,0.4576,0.1795
1.0,0.0,0.9659,0.2588,0.2121,0.97,0.8983,0.359
1.0,0.0,1.0,0.0,0.303,0.47,0.3729,0.7179
1.0,0.0,0.9659,-0.2588,0.3636,0.36,0.6102,0.8205
1.0,0.0,0.866,-0.5,0.6061,0.78,0.5254,0.7436
1.0,0.0,0.7071,-0.7071,0.6061,0.43,0.5424,0.9744
1.0,0.0,0.5,-0.866,0.7273,0.99,0.0,0.6667
1.0,0.0,0.2588,-0.9659,0.7576,0.14,0.3051,0.8974
1.0,0.0,0.0,-1.0,0.7576,0.42,0.0169,0.7179
1.0,0.0,-0.2588,-0.9659,0.8485,0.47,0.8814,0.9487
1.0,0.0,-0.5,-0.866,0.9091,0.86,0.7288,0.8205
1.0,0.0,-0.7071,-0.7071,0.8788,0.69,0.4237,0.9231
1.0,0.0,-0.866,-0.5,0.7576,0.45,0.5254,0.6667
1.0,0.0,-0.9659,-0.2588,0.8182,0.42,0.0847,0.8205
1.0,0.0,-1.0,-0.0,0.697,0.2,0.5254,0.0769
1.0,0.0,-0.9659,0.2588,0.5758,0.22,0.9153,0.5385
1.0,0.0,-0.866,0.5,0.4545,0.79,0.0508,0.0256
1.0,0.0,-0.7071,0.7071,0.3636,0.46,0.9153,0.2308
1.0,0.0,-0.5,0.866,0.3939,0.14,0.1695,0.1026
1.0,0.0,-0.2588,0.9659,0.3333,0.24,0.9322,0.2308
1.0,0.0,0.0,1.0,0.1818,0.35,0.9831,0.8205
1.0,0.0,0.2588,0.9659,0.2424,0.74,0.2712,0.9487
1.0,0.0,0.5,0.866,0.2121,0.5,0.6271,0.3077
1.0,0.0,0.7071,0.7071,0.1515,0.14,0.3898,0.7692
1.0,0.0,0.866,0.5,0.3333,0.67,0.0678,0.8974
1.0,0.0,0.9659,0.2588,0.1818,0.2,0.8644,0.5897
1.0,0.0,1.0,0.0,0.3333,0.12,0.5593,0.359
1.0,0.0,0.9659,-0.2588,0.5758,0.85,0.0847,0.7179
1.0,0.0,0.866,-0.5,0.4848,0.18,0.3559,0.1795
1.0,0.0,0.7071,-0.7071,0.7576,0.33,0.1695,0.1026
1.0,0.0,0.5,-0.866,0.6667,0.77,0.7966,0.7179
1.0,0.0,0.2588,-0.9659,0.7879,0.67,0.2542,0.0769
1.0,0.0,0.0,-1.0,0.8788,0.51,0.5424,0.2821
1.0,0.0,-0.2588,-0.9659,0.8788,0.26,0.1356,0.0256
1.0,0.0,-0.5,-0.866,0.8485,0.28,1.0,0.6667
1.0,0.0,-0.7071,-0.7071,0.7576,0.27,0.9831,0.7692
1.0,0.0,-0.866,-0.5,0.8182,0.34,0.0847,0.8974
1.0,0.0,-0.9659,-0.2588,0.8182,0.07,0.2542,0.8974
1.0,0.0,-1.0,-0.0,0.5758,0.15,0.4746,0.641
1.0,0.0,-0.9659,0.2588,0.6364,0.35,0.0339,0.6667
1.0,0.0,-0.866,0.5,0.5152,0.29,0.322,0.1026
1.0,0.0,-0.7071,0.7071,0.3333,0.17,1.0,0.4872
1.0,0.0,-0.5,0.866,0.2121,0.01,0.9831,0.2564
1.0,0.0,-0.2588,0.9659,0.2727,0.48,0.5932,0.2308
1.0,0.0,0.0,1.0,0.303,0.76,0.3051,1.0
1.0,0.0,0.2588,0.9659,0.1818,0.03,0.4237,0.9487
1.0,0.0,0.5,0.866,0.2121,0.89,0.0339,0.1282
1.0,0.0,0.7071,0.7071,0.1818,0.88,0.3051,0.1795
1.0,0.0,0.866,0.5,0.2121,0.93,0.322,0.5641
1.0,0.0,0.9659,0.2588,0.303,0.74,0.5254,0.641
1.0,0.0,1.0,0.0,0.3333,0.06,0.1017,0.2821
1.0,0.0,0.9659,-0.2588,0.4242,0.94,0.8644,0.641
1.0,0.0,0.866,-0.5,0.5758,0.73,0.678,0.3077
1.0,0.0,0.7071,-0.7071,0.6364,0.38,0.5424,1.0
1.0,0.0,0.5,-0.866,0.5758,0.12,0.661,0.4359
1.0,0.0,0.2588,-0.9659,0.6364,0.3,0.6441,0.6154
1.0,0.0,0.0,-1.0,0.9697,0.7,0.2881,0.8205
1.0,0.0,-0.2588,-0.9659,0.7576,0.62,0.661,1.0
1.0,0.0,-0.5,-0.866,0.8788,0.55,0.0,0.2821
1.0,0.0,-0.7071,-0.7071,0.8485,0.41,0.1695,0.8974
1.0,0.0,-0.866,-0.5,0.7879,0.6,0.4576,0.0769
1.0,0.0,-0.9659,-0.2588,0.697,0.41,0.9492,0.1026
1.0,0.0,-1.0,-0.0,0.7273,0.55,0.4068,0.9231
1.0,0.0,-0.9659,0.2588,0.4242,0.35,0.8305,0.1795
1.0,0.0,-0.866,0.5,0.3939,0.83,0.3729,0.6923
1.0,0.0,-0.7071,0.7071,0.3939,0.67,0.5085,0.7692
1.0,0.0,-0.5,0.866,0.2727,0.06,0.4915,0.2051
1.0,0.0,-0.2588,0.9659,0.2424,0.53,0.6949,0.7179
1.0,0.0,0.0,1.0,0.2121,0.0,0.5763,0.3333
1.0,0.0,0.2588,0.9659,0.0909,0.43,0.1017,1.0
1.0,0.0,0.5,0.866,0.2121,0.44,1.0,0.5385
1.0,0.0,0.7071,0.7071,0.1818,0.46,0.2542,0.2564
1.0,0.0,0.866,0.5,0.1818,0.12,0.4237,0.5641
1.0,0.0,0.9659,0.2588,0.2121,0.21,0.7966,0.0
1.0,0.0,1.0,0.0,0.2727,0.2,0.9492,0.9231
1.0,0.0,0.9659,-0.2588,0.5455,0.85,0.8644,0.5128
1.0,0.0,0.866,-0.5,0.5758,0.91,1.0,0.641
1.0,0.0,0.7071,-0.7071,0.5758,0.08,0.8136,0.8974
1.0,0.0,0.5,-0.866,0.6364,0.25,0.0169,0.5641
1.0,0.0,0.2588,-0.9659,0.7273,0.08,0.0,0.0
1.0,0.0,0.0,-1.0,0.6364,0.14,0.7966,1.0
1.0,0.0,-0.2588,-0.9659,0.7879,0.09,0.1864,0.359
1.0,0.0,-0.5,-0.866,0.9091,0.87,0.0678,0.5128
1.0,0.0,-0.7071,-0.7071,0.7879,0.41,0.6102,0.2051
1.0,0.0,-0.866,-0.5,0.8182,0.71,0.5254,0.2051
1.0,0.0,-0.9659,-0.2588,0.697,0.23,0.9831,0.2308
1.0,0.0,-1.0,-0.0,0.6061,0.79,0.9153,0.641
1.0,0.0,-0.9659,0.2588,0.5758,0.48,0.1356,0.8718
1.0,0.0,-0.866,0.5,0.4242,0.25,0.678,0.6154
1.0,0.0,-0.7071,0.7071,0.303,0.9,0.5763,0.641
1.0,0.0,-0.5,0.866,0.3333,0.36,0.3051,0.2564
1.0,0.0,-0.2588,0.9659,0.2121,0.67,0.7966,0.9487
1.0,0.0,0.0,1.0,0.1515,0.49,0.2542,0.0256
1.0,0.0,0.2588,0.9659,0.1515,0.23,0.0339,0.1538
1.0,0.0,0.5,0.866,0.0303,0.18,0.322,0.4359
1.0,0.0,0.7071,0.7071,0.1212,0.99,0.3898,0.6667
1.0,0.0,0.866,0.5,0.1818,0.59,0.8983,0.8462
1.0,0.0,0.9659,0.2588,0.2121,0.38,0.9322,0.6667
1.0,0.0,1.0,0.0,0.303,0.73,0.5424,0.4103
1.0,0.0,0.9659,-0.2588,0.4848,0.88,0.3898,0.5897
1.0,0.0,0.866,-0.5,0.4545,0.17,0.8644,0.6154
1.0,0.0,0.7071,-0.7071,0.6061,0.18,0.1695,0.1538
1.0,0.0,0.5,-0.866,0.5455,0.35,0.8136,0.1282
1.0,0.0,0.2588,-0.9659,0.8182,0.73,0.1186,0.5897
1.0,0.0,0.0,-1.0,0.9091,0.96,0.5932,0.8205
1.0,0.0,-0.2588,-0.9659,0.7879,0.54,0.6271,0.7179
1.0,0.0,-0.5,-0.866,0.9091,0.68,0.661,0.5385
1.0,0.0,-0.7071,-0.7071,0.8182,0.46,0.322,0.641
1.0,0.0,-0.866,-0.5,0.7273,0.48,0.5763,0.6923
1.0,0.0,-0.9659,-0.2588,0.8182,0.98,0.7966,0.5128
1.0,0.0,-1.0,-0.0,0.8788,0.97,0.4068,0.1538
